Millitech M1911,250,0,3,2,2,7,
Arasaka WSA Autopistol,300,-1,2,2,20,20,
Federated Arms Enforcer,350,0,2,3,3,12, 
Arasaka Ghost,400,1,3,3,2,12,Internally Supressed
Towa Type 13 Police Pistol,450,3,3,3,2,20,
Glock-30 Machine Pistol,1200,1,2,3,30,60,Optional 30 round for reduced concealability by one tier
Dai Lung Six-Shooter,200,0,4,1,1,6,
BAM™ 46 Drifter,200,0,5,0,1,3,Always jams on 1 & 2
Nomad .44 Magnum Revolver,450,1,4,3,1,6,
IMI Desert Eagle,550,3,4,3,1,8,
"Towa Manufacturing ""Super Chief""",650,2,5,1,1,5,
"IMI Mk.4 ""Liberator""",1200,1,5,3,1,7,
Ingram MAC 10,175,-4,2,1,50,50,
Uzi Miniauto 9,300,-2,2,1,40,40,
BAM™ Cobra SMG,350,-2,2,3,30,53,Always jams on 1 & 2
Federated Arms UMP45,400,-1,2,2,20,35,
Millitech Viper SMG,600,-1,2,3,30,60,Comes supressed
"VolgaTek SR-2 ""Dynamo""",600,0,2,2,20,60,
IMI Gamadii,700,1,2,3,30,60,"Has ""half moon"" carriers for ammo, each magazine can be reloaded for free once"
Millitech MP5,825,-1,3,2,40,40,
Federated Arms Scorpion EVO,950,0,3,3,20,35,
Towa Smart Targeting SMG,1500,1,3,3,20,40,Smart Targeting Ammunition
VolgaTek P90,1750,0,3,2,50,50,
KRISS Vector,2400,3,3,2,30,60,
Arasaka Honey Badger PDW,2800,1,3,3,40,80,Internally suppressed
BAM™ ARK-21,650,-3,4,3,10,19,Always jams on 1 & 2
VolgaTek AKR-20,1250,-3,5,1,10,25,
Darra-Polytechnic M-9 AR,1250,-1,4,2,10,20,
Towa Manuufacting Type-18 Phantom,2500,0,5,1,10,30,Comes supressed
Millitech Vandal Medium Assault,2500,-2,6,1,10,25,
Millitech M-31 Maplestrike,3500,-1,5,1,20,100,"Comes with drum mag (included in mag total, cannot take attachments in those slots)"
FA-RAL Heavy Assault Rifle,4000,-1,6,2,15,30,
Militech Mox Bullpup,4000,1,5,1,10,20,Proprietary Ammo
Nomad.44 Magnum Lever-Action Rifle,325,1,3,1,2,8,
Arasaka Marshal Scout Rifle,700,0,4,1,2,6,
VolgaTek SKS,1000,1,4,3,2,12,
VolgaTek VSS Subsonic,1400,2,3,3,10,20,Interanally Suppresed and Subsonic rounds
"Towa HK417 ""Valkyrie"" ",1600,2,5,1,2,8,
"Millitech ""Guardian"" DMR",2250,1,6,1,2,12,
VolgaTek SVD,2750,2,6,2,2,10,
Nomad M30 Bolt Action,300,0,4,1,1,5,
BAM™ Lancer,600,-1,5,4,1,2,Always jams on 1 & 2
Nomad M30 Mk2,700,1,5,1,1,5,
VolgaTek L96 Sharpshooter,1250,1,5,3,1,4,
"Federated Arms ""Triple Take""",1800,1,5,1,3,12,Has to burst fire
"Arasaka Mosin ""Archangel""",2250,2,6,3,1,6,
Towa Manufacting AWP,4000,2,7,2,1,5,
"Millitech AXMC ""Lapua""",5000,0,8,2,1,4,
BAM™ LastChance,175,-1,5,3,1,1,"Always jams on 1 & 2, Uses Pistol Skill"
Nomad Shorty Shotgun,250,0,3,2,2,2,
"Nomad Model 2020 ""Trench Gun""",425,1,5,1,1,5,
Nomad Double Barrel 12,550,1,4,2,2,2,
Millitech Pump Shotgun 10,1000,3,5,3,1,6,
"VolgaTek ""Vonya"" Saiga-12",1100,1,4,3,2,6,Magazine Fed
Federated Arms City Reaper,1750,2,4,3,3,12,Magazine Fed
"VolgaTek MP155 ""Slamfire""",2000,1,5,3,2,8,
Nomad RPK LMG,1100,-2,4,1,40,120,
Millitech Ares LMG,1100,-5,5,1,50,100,
Millitech Odin LMG,2250,-4,6,1,50,200,
Towa MA70 Defender LMG,2500,-4,5,3,80,240,"Two turns to setup, +1 EV while not setup, reload as slow action"
"VolgaTek DP-27 ""Dinnerplate"" LMG",3250,-2,6,1,47,47,
Millitech M249 LMG,4500,-3,6,3,50,100,
